tesla_date,replies_count,positive,negative,article_positive,article_negative,DJ_Price,class
2018-09-27,"","","","","",-0.003652643522364824,7
2013-06-28,109,99,83,"","",0.0,1
2013-06-29,"","","","","",-0.002771610910804451,1
2013-06-30,23,20,13,"","",-0.002771610910804451,1
2013-07-15,525,791,620,"","",0.0015244685251728693,7
2013-07-15,46,50,36,"","",0.0015244685251728693,7
2014-05-30,"","","","","",0.004774067053642985,5
2014-05-31,113,114,78,"","",0.0027729451974275923,5
2014-06-01,"","","","","",0.0027729451974275923,5
2017-08-16,"","","","","",0.0,5
2014-03-27,"","","","","",-0.006504268442943097,3
2018-03-12,"","","","","",0.00694739091665193,2
2019-09-16,"","","","","",-0.0051383806239498064,4
2016-11-02,"","","",1,1,-0.010937161685912442,5
2012-07-10,"","","","","",-0.009309366758450555,3
2012-02-08,7,8,3,"","",0.0030815118035283423,2
2012-02-08,11,12,7,"","",0.0030815118035283423,2
2012-02-08,5,5,3,"","",0.0030815118035283423,2
2014-04-07,95,122,56,"","",-0.019917291569310994,2
2014-04-07,96,162,92,"","",-0.019917291569310994,2
2014-04-07,17,27,19,"","",-0.019917291569310994,2
2014-04-07,37,35,11,"","",-0.019917291569310994,2
2016-06-22,"","","",0,1,-0.002608354688908675,5
2019-01-14,2481,1842,1415,"","",-0.0012602301406877624,3
2016-07-21,361,527,376,3,2,-0.003523102280746267,5
2016-07-21,1183,1172,1024,3,2,-0.003523102280746267,5
2013-10-03,"","","","","",-0.012262017308253137,2
2013-06-14,"","","","","",0.005178552015549921,2
2013-06-15,"","","","","",0.0,2
2013-06-16,"","","","","",0.0,2
2017-05-12,915,709,539,"","",-0.001391174456450266,5
2017-05-12,157,147,80,"","",-0.001391174456450266,5
2017-05-12,89,107,61,"","",-0.001391174456450266,5
2017-05-12,85,85,37,"","",-0.001391174456450266,5
2017-05-12,143,235,98,"","",-0.001391174456450266,5
2017-05-12,260,303,157,"","",-0.001391174456450266,5
2017-05-13,1354,1999,1192,1,1,0.004247795684766819,5
2017-05-13,541,170,124,1,1,0.004247795684766819,5
2017-05-14,"","","",1,0,0.004247795684766819,5
2013-07-19,"","","",1,0,0.005032363264670055,2
2013-07-20,"","","","","",0.0013707745407707135,2
2013-07-21,"","","","","",0.0013707745407707135,2
2013-08-13,"","","","","",0.0023217339549710695,6
2012-01-27,11,8,3,"","",-0.0075644981481080295,2
2012-01-28,1,0,1,"","",-0.006300516926753308,2
2012-01-28,18,23,9,"","",-0.006300516926753308,2
2012-01-29,"","","","","",-0.006300516926753308,2
2014-07-11,"","","","","",-0.0021518439455349295,2
2014-07-12,"","","","","",0.00810420015758167,2
2014-07-13,"","","","","",0.00810420015758167,2
2018-04-11,"","","","","",0.0,5
2019-07-08,314,866,500,"","",-0.002293060453517693,4
2016-06-14,"","","","","",-0.00873108928521354,4
